,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,V Kohli,75,70,2633,94,52.66,1907,138.07,0,24,2,247,71,1
1,D Padikkal,48,43,1376,46,41.81,1032,133.33,0,6,6,80,49,1
2,D Christian,16,7,27,9,6.75,28,96.42,0,0,1,2,0,0
3,G Maxwell,61,54,1576,145,35.02,985,160,3,7,1,133,81,1
4,A Villiers,78,75,1672,79,26.12,1237,135.16,0,10,5,140,60,0
5,K Bharat,57,52,2028,51,35.85,1300,156,0,6,4,90,48,0
6,G Garton,38,31,1054,47,25.24,837,125.93,0,4,6,100,45,1
7,K Rahul,34,31,1138,110,43.76,777,146.46,2,8,1,102,50,1
8,M Agarwal,35,28,980,60,39.94,756,129.63,0,1,9,101,44,1
9,N Pooran,16,16,312,58,24,247,126.31,0,2,1,24,17,0
10,A Markram,2,2,18,15,9,17,105.88,0,0,0,1,1,0
11,S Khan,1,1,7,7,7,6,116.66,0,0,0,1,0,1
12,M Henriques,11,8,159,62,31.8,122,130.32,0,2,0,8,7,1
13,A Singh,55,50,1850,42,37.79,1350,137.04,0,0,6,89,52,0
