,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,P Shaw,48,42,1554,45,26.66,1008,154.17,0,4,2,79,47,1
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,1
2,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,1
3,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,1
4,M Stoinis,19,14,136,33,15.11,117,116.23,0,0,1,14,2,0
5,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
6,A Mishra,45,38,1406,55,37.3,1064,132.14,0,5,7,85,46,0
7,M Vijay,39,33,1254,71,29.9,858,146.15,0,0,8,101,52,0
8,S Watson,54,47,1504,66,39.7,1222,123.08,0,7,2,83,52,0
9,F Plessis,44,44,1363,119,35.86,1006,135.48,1,8,0,126,45,1
10,R Gaikwad,45,40,1360,48,40.83,1080,125.93,0,2,8,95,53,0
11,K Jadhav,9,6,122,58,20.33,99,123.23,0,1,0,12,3,1
12,M Dhoni,98,85,1617,56,37.6,1282,126.13,0,2,1,116,52,1
13,R Jadeja,46,22,163,25,11.64,165,98.78,0,0,2,7,4,0
14,S Curran,5,3,35,24,11.66,23,152.17,0,0,0,3,2,0
15,P Chawla,35,29,1073,42,40.85,783,137.04,0,6,3,98,43,1
