,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,H Patel,7,5,13,0,104,2,52,8,39,0,0,0
1,R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0,0
2,P Dubey,56,53,159,2,2385,62,38.47,15,15,1,1,0
3,K Rabada,21,21,77.2,0,648,28,23.14,8.37,16.5,0,0,0
4,A Nortje,1,1,3,0,27,0,-,9,-,0,0,1
5,K Pandya,18,18,66.2,1,538,14,38.42,8.11,28.4,1,0,1
6,N Coulter-Nile,28,27,97,1,802,34,23.58,8.26,17.1,1,0,0
7,J Yadav,41,36,108,2,864,37,23.35,8,18,2,0,0
8,R Chahar,1,1,3,0,27,1,27,9,18,0,0,1
9,T Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0,1
10,J Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0,1
