,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,M Nabi,75.0,75.0,256.4,5.0,1839.0,69.0,26.65,7.16,22.3,3.0,0.0,0
1,R Khan,45.0,45.0,171.0,1.0,1052.0,84.0,12.52,6.15,12.2,3.0,2.0,1
2,B Kumar,43.0,43.0,154.2,2.0,1088.0,41.0,26.53,7.04,22.5,0.0,1.0,0
3,T Natarajan,57.0,54.0,162.0,0.0,972.0,70.0,13.89,6.0,14.0,1.0,1.0,1
4,K Ahmed,14.0,14.0,52.0,1.0,459.0,13.0,35.3,8.82,24.0,0.0,0.0,0
5,S Narine,51.0,49.0,183.4,1.0,1105.0,52.0,21.25,6.01,21.1,1.0,0.0,0
6,P Cummins,25.0,25.0,95.0,3.0,644.0,32.0,20.12,6.77,17.8,0.0,0.0,1
7,S Mavi,39.0,36.0,108.0,1.0,1404.0,25.0,56.16,13.0,26.0,3.0,1.0,0
8,K Yadav,19.0,19.0,71.3,1.0,499.0,37.0,13.48,6.97,11.5,1.0,1.0,0
9,K Nagarkoti,48.0,43.0,172.0,1.0,2236.0,34.0,65.76,13.0,30.0,1.0,0.0,0
