,Unnamed: 0,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
0,0,V Kohli,2010-2019,75,70,20,2633,94*,52.66,1907,138.07,0,24,2,247,71,
1,1,RG Sharma,2007-2019,104,96,14,2633,118,32.1,1905,138.21,4,19,6,234,120,
2,2,MJ Guptill,2009-2019,83,80,7,2436,105,33.36,1810,134.58,2,15,2,215,113,
3,3,Shoaib Malik,2006-2019,111,104,30,2263,75,30.58,1824,124.06,0,7,1,186,61,
4,5,DA Warner,2009-2019,76,76,8,2079,100*,30.57,1476,140.85,1,15,5,203,86,
5,6,EJG Morgan,2009-2019,86,84,17,2002,91,29.88,1475,135.72,0,11,3,151,96,
6,7,Mohammad Shahzad,2010-2018,65,65,3,1936,118*,31.22,1436,134.81,1,12,3,218,72,
7,8,JP Duminy,2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71,
8,9,PR Stirling,2009-2019,72,71,6,1929,91,29.67,1401,137.68,0,16,8,233,59,
9,10,Mohammad Hafeez,2006-2018,89,86,8,1908,86,24.46,1643,116.12,0,10,6,196,51,
10,12,AJ Finch,2011-2019,58,58,9,1878,172,38.32,1200,156.5,2,11,4,182,90,
11,13,LRPL Taylor,2006-2019,95,87,19,1743,63,25.63,1430,121.88,0,5,5,110,65,
12,14,Umar Akmal,2009-2019,84,79,14,1690,94,26.0,1377,122.73,0,8,10,122,55,
13,15,AB de Villiers,2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60,
14,16,H Masakadza,2006-2019,66,66,2,1662,93*,25.96,1418,117.2,0,11,1,151,65,
15,17,AD Hales,2011-2019,60,60,7,1644,116*,31.01,1203,136.65,1,8,4,175,55,
16,18,CH Gayle,2006-2019,58,54,4,1627,117,32.54,1139,142.84,2,13,3,138,105,
17,19,MS Dhoni,2006-2019,98,85,42,1617,56,37.6,1282,126.13,0,2,1,116,52,
18,20,Tamim Iqbal,2007-2018,75,75,5,1613,103*,23.04,1383,116.63,1,6,6,174,41,
19,21,MN Samuels,2007-2018,67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69,
20,22,SK Raina,2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58,
21,23,GJ Maxwell,2012-2019,61,54,9,1576,145*,35.02,985,160.0,3,7,1,133,81,
22,24,Shakib Al Hasan,2006-2019,76,76,10,1567,84,23.74,1266,123.77,0,9,5,163,33,
23,25,C Munro,2012-2019,60,57,7,1546,109*,30.92,966,160.04,3,9,5,114,100,
24,26,KS Williamson,2011-2019,57,55,7,1505,73*,31.35,1236,121.76,0,9,2,158,26,
25,27,S Dhawan,2011-2019,58,57,3,1504,92,27.85,1173,128.21,0,9,1,166,46,
26,28,KJ O'Brien,2008-2019,90,83,10,1504,124,20.6,1124,133.8,1,3,10,117,69,
27,30,Ahmed Shehzad,2009-2019,59,59,2,1471,111*,25.8,1282,114.74,1,7,2,157,33,
28,32,Mahmudullah,2007-2019,83,76,16,1430,64*,23.83,1166,122.64,0,4,2,113,48,
29,33,Shahid Afridi,2006-2018,99,91,12,1416,54*,17.92,944,150.0,0,4,8,103,73,
30,34,Babar Azam,2016-2019,36,36,8,1405,97*,50.17,1102,127.49,0,12,0,139,20,
31,35,KJ Coetzer,2008-2019,58,56,2,1386,89,25.66,1136,122.0,0,6,3,144,45,
32,37,F du Plessis,2012-2019,44,44,6,1363,119,35.86,1006,135.48,1,8,0,126,45,
33,38,Mohammad Nabi,2010-2019,75,70,11,1316,89,22.3,902,145.89,0,4,4,83,78,
34,39,DA Miller,2010-2019,72,62,18,1309,101*,29.75,935,140.0,1,2,0,91,57,
35,40,HM Amla,2009-2018,44,44,6,1277,97*,33.6,967,132.05,0,8,2,146,26,
36,41,Mushfiqur Rahim,2006-2019,84,76,13,1265,72*,20.07,1060,119.33,0,5,5,110,31,
37,42,JC Buttler,2011-2018,66,58,11,1260,73*,26.8,912,138.15,0,7,3,102,53,
38,43,RD Berrington,2008-2019,61,54,10,1247,100,28.34,967,128.95,1,3,6,117,36,
39,44,GC Wilson,2008-2019,78,65,8,1239,65*,21.73,1185,104.55,0,3,4,105,20,
40,45,Yuvraj Singh,2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74,
41,47,MDKJ Perera,2013-2019,42,42,0,1171,84,27.88,867,135.06,0,11,0,114,41,
42,48,NLTC Perera,2010-2019,79,70,21,1169,61,23.85,767,152.41,0,3,8,87,62,
43,49,Asghar Afghan,2010-2019,66,60,4,1167,62,20.83,1102,105.89,0,3,4,69,58,
44,1,KL Rahul,2016-2019,34,31,5,1138,110*,43.76,777,146.46,2,8,1,102,50,
45,2,BN Cooper,2013-2019,51,48,9,1094,91*,28.05,890,122.92,0,7,5,96,36,
46,3,WTS Porterfield,2008-2018,61,59,6,1079,72,20.35,971,111.12,0,3,5,120,23,
47,4,KA Pollard,2008-2019,68,58,12,1058,68,23.0,819,129.18,0,4,1,69,61,
48,5,AD Mathews,2009-2018,72,57,18,1055,81*,27.05,893,118.14,0,5,1,67,35,
49,6,CS MacLeod,2009-2019,49,47,7,1042,74,26.05,905,115.13,0,7,4,93,21,
50,7,Q de Kock,2012-2019,38,38,5,1018,79*,30.84,787,129.35,0,4,3,117,32,
51,8,LMP Simmons,2007-2019,49,48,7,990,82*,24.14,848,116.74,0,6,6,92,37,
52,9,Kamran Akmal,2006-2017,58,53,6,987,73,21.0,825,119.63,0,5,7,100,31,
53,10,HG Munsey,2015-2019,38,36,3,987,127*,29.9,640,154.21,1,5,4,114,45,
54,11,Samiullah Shinwari,2010-2019,62,55,10,985,61,21.88,829,118.81,0,2,2,73,37,
55,14,Shaiman Anwar,2014-2019,32,32,3,971,117*,33.48,770,126.1,1,6,1,75,43,
56,15,Sabbir Rahman,2014-2019,44,43,5,946,80,24.89,783,120.81,0,4,2,89,28,
57,17,Najibullah Zadran,2012-2019,57,48,18,918,69*,30.6,663,138.46,0,3,1,60,48,
58,18,JE Root,2012-2019,32,30,5,893,90*,35.72,707,126.3,0,5,2,92,16,
59,19,MP O'Dowd,2015-2019,36,35,2,866,69,26.24,718,120.61,0,6,0,83,19,
60,20,E Chigumbura,2006-2019,54,53,9,852,54*,19.36,597,142.71,0,3,6,58,51,
61,21,E Lewis,2016-2019,29,28,1,833,125*,30.85,544,153.12,2,5,3,54,67,
62,22,SC Williams,2006-2019,38,38,5,821,66,24.87,630,130.31,0,6,4,75,24,
63,23,BRM Taylor,2006-2019,38,38,5,818,75*,24.78,678,120.64,0,5,5,81,23,
64,24,Sarfaraz Ahmed,2010-2019,58,41,12,812,89*,28.0,641,126.67,0,3,2,79,15,
65,25,LD Chandimal,2010-2018,54,47,4,800,58,18.6,766,104.43,0,4,0,73,16,
66,26,W Barresi,2012-2019,42,41,6,799,75*,22.82,695,114.96,0,4,3,69,21,
67,27,Soumya Sarkar,2015-2019,46,46,0,791,51,17.19,648,122.06,0,1,8,81,28,
68,28,A Balbirnie,2015-2019,37,33,2,790,83,25.48,593,133.22,0,4,3,94,12,
69,30,P Khadka,2014-2019,30,29,3,777,106*,29.88,602,129.06,1,4,3,79,26,
70,31,ADS Fletcher,2008-2018,42,40,4,765,84*,21.25,707,108.2,0,6,6,54,37,
71,33,Fakhar Zaman,2017-2019,34,33,0,756,91,22.9,553,136.7,0,4,2,86,22,
72,35,MH Cross,2013-2019,43,35,6,755,66*,26.03,593,127.31,0,5,3,77,22,
73,36,JJ Roy,2014-2018,32,32,0,743,78,23.21,512,145.11,0,4,4,75,35,
74,37,SJ Myburgh,2012-2019,33,32,2,741,71*,24.7,635,116.69,0,5,6,82,22,
75,41,CK Kapugedera,2006-2017,43,38,7,703,50,22.67,591,118.95,0,1,0,58,25,
76,42,Muhammad Usman,2016-2019,34,32,5,695,89*,25.74,593,117.2,0,3,3,61,21,
77,43,CO Obuya,2007-2019,35,33,6,691,75*,25.59,649,106.47,0,4,3,47,17,
78,44,TP Ura,2015-2019,23,23,5,671,107*,37.27,476,140.96,1,4,0,54,31,
79,46,PW Borren,2008-2017,43,38,5,638,57,19.33,524,121.75,0,1,2,60,18,
80,47,D Ramdin,2006-2019,71,50,16,636,55*,18.7,551,115.42,0,1,3,51,19,
81,49,CJ Chibhabha,2006-2018,33,32,0,621,67,19.4,570,108.94,0,5,3,72,12,
