,Name
0,K Rabada
1,O Smith
2,R Chahar
3,A Singh
4,H Brar
5,V Arora
6,R Bawa
7,N Ellis
8,S Sharma
9,I Porel
10,A Taide
11,A Patel
12,W Chatterjee
13,B Singh
14,W Sundar
15,R Shepherd
16,B Kumar
17,M Jansen
18,U Malik
19,T Natarajan
20,K Tyagi
21,S Abbott
22,S Gopal
23,F Farooqi
24,S Dubey
25,J Suchith
26,P Krishna
27,T Boult
28,Y Chahal
29,R Ashwin
30,N Saini
31,N Coulter-Nile
32,J Neesham
33,O McCoy
34,K Cariappa
35,T Baroka
36,K Yadav
37,K Sen
38,A Singh
39,H Patel
40,W Hasaranga
41,J Hazlewood
42,M Siraj
43,S Ahmed
44,D Willey
45,J Behrendorff
46,S Kaul
47,K Sharma
48,C Milind
49,A Gautam
50,A Deep
51,J Bumrah
52,T David
53,J Archer
54,D Sams
55,M Ashwin
56,T Mills
57,J Unadkat
58,R Meredith
59,M Markande
60,B Thampi
61,A Tendulkar
62,A Khan
63,H Shokeen
64,D Chahar
65,D Bravo
66,C Jordan
67,M Santner
68,A Milne
69,R Hangargekar
70,P Solanki
71,M Theekshana
72,D Pretorius
73,K Asif
74,T Deshpande
75,S Singh
76,M Choudhary
77,V Chakravarthy
78,S Mavi
79,P Cummins
80,S Narine
81,U Yadav
82,T Southee
83,M Nabi
84,A Sharma
85,C Karunaratne
86,A Roy
87,R Dar
88,A Khan
89,S Thakur
90,A Patel
91,A Nortje
92,K Ahmed
93,C Sakariya
94,K Yadav
95,M Rahman
96,K Nagarkoti
97,L Yadav
98,L Ngidi
99,P Dubey
100,V Ostwal
101,A Khan
102,J Holder
103,K Pandya
104,M Wood
105,R Bishnoi
106,D Chameera
107,K Gowtham
108,S Nadeem
109,A Rajpoot
110,M Khan
111,K Sharma
112,M Yadav
113,R Khan
114,L Ferguson
115,R Tewatia
116,M Shami
117,Y Dayal
118,R Kishore
119,A Joseph
120,J Yadav
121,D Drakes
122,V Aaron
123,G Mann
124,N Ahmad
125,D Nalkande
126,P Sangwan
127,M Henriques
128,B Cutting
129,B Sharma
130,A Nehra
131,S Aravind
132,A Choudhary
133,R Bhatia
134,A Zampa
135,A Dinda
136,I Tahir
137,M McClenaghan
138,D Smith
139,M Gony
140,P Kumar
141,S Jakati
142,D Kulkarni
143,Y Pathan
144,C Woakes
145,H Amla
146,M Sharma
147,D Christian
148,I Abdulla
149,B Stanlake
150,A Tare
151,C Morris
152,C Brathwaite
153,Z Khan
154,S Malinga
155,C Anderson
156,I Sharma
157,S Badree
158,A Tye
159,M Patel
160,S Marsh
161,G Singh
162,S Hasan
163,J Faulkner
164,A Nath
165,S Agarwal
166,N Singh
167,A Bawne
168,I Pathan
169,L Simmons
170,I Jaggi
171,K Khejroliya
172,D Short
173,B Laughlin
174,T Curran
175,A Dananjaya
176,H Klaasen
177,I Sodhi
178,M Krishna
179,S Goswami
180,P Chopra
181,S Lamichhane
182,C Dala
183,G Viljoen
184,N Naik
185,P Barman
186,S Kuggeleijn
187,S Lad
188,J Denly
189,D Steyn
190,O Thomas
191,S Warrier
192,S Cottrell
193,I Udana
194,T Banton
195,C Green
196,M Kumar
197,K Jamieson
198,J Richardson
199,V Singh
200,J Saxena
201,L Meriwala
202,K Richardson
203,K Bharat
204,P Silva
205,A Rashid
206,P Chameera
207,B Sudharsan
208,H Rana
209,K Kartikeya
210,M Pathirana
211,R Yadav
