,Unnamed: 0,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
0,0,SL Malinga,2006-2019,79,79,284.5,1,2061,106,05-Jun,19.44,7.23,16.1,1,2,
1,1,Shahid Afridi,2006-2018,99,97,361.2,4,2396,98,04-Nov,24.44,6.63,22.1,3,0,
2,2,Shakib Al Hasan,2006-2019,76,75,277.5,2,1894,92,May-20,20.58,6.81,18.1,3,1,
3,5,Rashid Khan,2015-2019,45,45,171,1,1052,84,05-Mar,12.52,6.15,12.2,3,2,
4,6,GH Dockrell,2010-2019,73,69,221.2,1,1539,75,Apr-20,20.52,6.95,17.7,1,0,
5,7,TG Southee,2008-2019,66,64,233.3,2,1954,75,May-18,26.05,8.36,18.6,0,1,
6,8,Mohammad Nabi,2010-2019,75,75,256.4,5,1839,69,04-Oct,26.65,7.16,22.3,3,0,
7,9,KMDN Kulasekara,2008-2017,58,58,205.1,6,1530,66,Apr-31,23.18,7.45,18.6,2,0,
8,12,Imran Tahir,2013-2019,38,38,140.5,0,948,63,May-23,15.04,6.73,13.4,2,2,
9,13,DW Steyn,2007-2019,44,44,157.1,3,1068,61,04-Sep,17.5,6.79,15.4,2,0,
10,14,Mohammad Amir,2009-2019,48,48,175.4,5,1224,59,Apr-13,20.74,6.96,17.8,1,0,
11,16,KJ O'Brien,2008-2019,90,51,150.3,0,1134,58,Apr-45,19.55,7.53,15.5,1,0,
12,17,S Badree,2012-2018,52,52,191,4,1180,56,Apr-15,21.07,6.17,20.4,1,0,
13,18,CJ Jordan,2014-2019,43,43,151.3,0,1300,54,04-Jun,24.07,8.58,16.8,2,0,
14,19,Mohammad Hafeez,2006-2018,89,67,186.1,2,1226,54,04-Oct,22.7,6.58,20.6,1,0,
15,20,Sohail Tanvir,2007-2017,57,57,202.2,3,1454,54,03-Dec,26.92,7.18,22.4,0,0,
16,21,RE van der Merwe,2009-2019,43,42,149.1,1,938,54,Apr-35,17.37,6.28,16.5,1,0,
17,22,WB Rankin,2009-2019,48,47,170,2,1138,53,Mar-16,21.47,6.69,19.2,0,0,
18,23,PM Seelaar,2008-2019,69,58,172.3,3,1190,53,Apr-19,22.45,6.89,19.5,1,0,
19,24,R Ashwin,2010-2017,46,46,171,2,1193,52,04-Aug,22.94,6.97,19.7,2,0,
20,26,YS Chahal,2016-2019,36,36,140.3,1,1139,52,Jun-25,21.9,8.1,16.2,2,1,
21,27,Mustafizur Rahman,2015-2019,37,37,135.1,3,1065,52,May-22,20.48,7.87,15.5,1,1,
22,28,SP Narine,2012-2019,51,49,183.4,1,1105,52,04-Dec,21.25,6.01,21.1,1,0,
23,29,JJ Bumrah,2016-2019,42,42,153.1,5,1029,51,03-Nov,20.17,6.71,18,0,0,
24,30,NLTC Perera,2010-2019,79,64,175.4,1,1628,51,Mar-24,31.92,9.26,20.6,0,0,
25,32,MJ Santner,2015-2019,39,38,128.5,1,928,49,04-Nov,18.93,7.2,15.7,1,0,
26,33,SM Sharif,2012-2019,42,41,143.5,0,1185,49,Apr-24,24.18,8.23,17.6,1,0,
27,35,M Morkel,2007-2017,44,44,158.4,3,1191,47,Apr-17,25.34,7.5,20.2,2,0,
28,36,IS Sodhi,2014-2019,40,39,138.3,0,1131,47,Mar-18,24.06,8.16,17.6,0,0,
29,37,PA van Meekeren,2013-2019,41,39,136.1,2,945,47,04-Nov,20.1,6.94,17.3,2,0,
30,38,Shadab Khan,2017-2019,38,36,135.3,1,948,46,Apr-14,20.6,6.99,17.6,1,0,
31,39,Bilal Khan,2015-2019,32,31,111,2,778,45,Apr-19,17.28,7,14.8,3,0,
32,40,MRJ Watt,2015-2019,35,33,125,2,903,45,May-27,20.06,7.22,16.6,0,1,
33,42,Ahsan Malik,2012-2017,31,29,95.5,1,730,44,May-19,16.59,7.61,13,1,1,
34,43,DJG Sammy,2007-2017,68,59,152.4,0,1116,44,May-26,25.36,7.31,20.8,1,1,
35,46,Imad Wasim,2015-2019,41,40,147,3,877,42,May-14,20.88,5.96,21,1,1,
36,47,Mashrafe Mortaza,2006-2017,54,53,189.5,1,1527,42,Apr-19,36.35,8.04,27.1,1,0,
37,48,B Kumar,2012-2019,43,43,154.2,2,1088,41,May-24,26.53,7.04,22.5,0,1,
38,49,WD Parnell,2009-2017,40,39,124.5,3,1038,41,Apr-13,25.31,8.31,18.2,1,0,
39,0,KOK Williams,2016-2019,24,24,86.5,2,724,41,Apr-28,17.65,8.33,12.7,1,0,
40,1,Al-Amin Hossain,2013-2019,28,26,91.2,0,673,40,Mar-20,16.82,7.36,13.7,0,0,
41,2,Dawlat Zadran,2012-2019,34,34,123.3,2,980,40,Apr-44,24.5,7.93,18.5,1,0,
42,3,T van der Gugten,2012-2019,39,38,118.5,0,847,40,03-Sep,21.17,7.12,17.8,0,0,
43,4,TA Boult,2013-2019,27,27,98.5,1,854,39,Apr-34,21.89,8.64,15.2,1,0,
44,6,AU Rashid,2009-2019,40,38,133,1,1000,39,03-Nov,25.64,7.51,20.4,0,0,
45,7,Rohan Mustafa,2014-2019,38,36,113.5,2,774,39,Apr-18,19.84,6.79,17.5,1,0,
