,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IsInD11
0,P Shaw,53,47,1692,68,35.5,1128,150.0,0,0,1,80,39,0
1,S Dhawan,58,57,1504,92,27.85,1173,128.21,0,9,1,166,46,0
2,S Iyer,14,13,226,62,22.6,178,126.96,0,1,1,18,9,0
3,R Pant,26,24,409,65,20.45,336,121.72,0,2,3,28,18,0
4,S Hetmyer,20,18,279,56,16.41,223,125.11,0,1,2,19,17,0
5,L Livingstone,2,2,16,16,8.0,19,84.21,0,0,1,1,0,0
6,Y Jaiswal,57,50,1550,61,25.8,1450,106.9,0,7,9,91,44,0
7,S Samson,45,40,1440,63,23.83,1120,128.57,0,2,4,103,48,0
8,D Miller,72,62,1309,101,29.75,935,140.0,1,2,0,91,57,0
9,M Lomror,40,35,1225,44,29.2,805,152.17,0,3,1,77,40,0
10,R Parag,47,41,1435,69,33.44,1189,120.69,0,6,2,77,44,0
11,T Shamsi,16,3,0,0,0.0,5,0.0,0,0,1,0,0,0
