,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5,IsInD11
0,S Ahmed,17,17,55.0,3,365,15,24.33,6.63,22.0,0,0,0
1,M Siraj,3,3,12.0,0,148,3,49.33,12.33,24.0,0,0,0
2,H Patel,4,4,15.0,0,82,7,11.71,5.46,12.8,1,0,0
3,J Hazlewood,51,48,192.0,2,2880,57,50.53,15.0,20.0,2,0,0
4,L Yadav,57,54,216.0,3,3456,48,72.0,16.0,27.0,0,0,0
5,S Thakur,7,7,27.3,0,242,8,30.25,8.8,20.6,1,0,0
6,A Patel,11,11,39.0,0,265,9,29.44,6.79,26.0,0,0,0
7,K Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1,0
8,M Rahman,37,37,135.1,3,1065,52,20.48,7.87,15.5,1,1,0
9,K Ahmed,14,14,52.0,1,459,13,35.3,8.82,24.0,0,0,0
