Player,Mat,Inns,Overs,Mdns,Runs,Wkts,Ave,Econ,SR,4,5
SL Malinga,79,79,284.5,1,2061,106,19.44,7.23,16.1,1,2
Shahid Afridi,99,97,361.2,4,2396,98,24.44,6.63,22.1,3,0
Shakib Al Hasan,76,75,277.5,2,1894,92,20.58,6.81,18.1,3,1
Rashid Khan,45,45,171,1,1052,84,12.52,6.15,12.2,3,2
GH Dockrell,73,69,221.2,1,1539,75,20.52,6.95,17.7,1,0
TG Southee,66,64,233.3,2,1954,75,26.05,8.36,18.6,0,1
Mohammad Nabi,75,75,256.4,5,1839,69,26.65,7.16,22.3,3,0
KMDN Kulasekara,58,58,205.1,6,1530,66,23.18,7.45,18.6,2,0
Imran Tahir,38,38,140.5,0,948,63,15.04,6.73,13.4,2,2
DW Steyn,44,44,157.1,3,1068,61,17.5,6.79,15.4,2,0
Mohammad Amir,48,48,175.4,5,1224,59,20.74,6.96,17.8,1,0
KJ O'Brien,90,51,150.3,0,1134,58,19.55,7.53,15.5,1,0
S Badree,52,52,191,4,1180,56,21.07,6.17,20.4,1,0
CJ Jordan,43,43,151.3,0,1300,54,24.07,8.58,16.8,2,0
Mohammad Hafeez,89,67,186.1,2,1226,54,22.7,6.58,20.6,1,0
Sohail Tanvir,57,57,202.2,3,1454,54,26.92,7.18,22.4,0,0
RE van der Merwe,43,42,149.1,1,938,54,17.37,6.28,16.5,1,0
WB Rankin,48,47,170,2,1138,53,21.47,6.69,19.2,0,0
PM Seelaar,69,58,172.3,3,1190,53,22.45,6.89,19.5,1,0
R Ashwin,46,46,171,2,1193,52,22.94,6.97,19.7,2,0
YS Chahal,36,36,140.3,1,1139,52,21.9,8.1,16.2,2,1
Mustafizur Rahman,37,37,135.1,3,1065,52,20.48,7.87,15.5,1,1
SP Narine,51,49,183.4,1,1105,52,21.25,6.01,21.1,1,0
JJ Bumrah,42,42,153.1,5,1029,51,20.17,6.71,18,0,0
NLTC Perera,79,64,175.4,1,1628,51,31.92,9.26,20.6,0,0
MJ Santner,39,38,128.5,1,928,49,18.93,7.2,15.7,1,0
SM Sharif,42,41,143.5,0,1185,49,24.18,8.23,17.6,1,0
M Morkel,44,44,158.4,3,1191,47,25.34,7.5,20.2,2,0
IS Sodhi,40,39,138.3,0,1131,47,24.06,8.16,17.6,0,0
PA van Meekeren,41,39,136.1,2,945,47,20.1,6.94,17.3,2,0
Shadab Khan,38,36,135.3,1,948,46,20.6,6.99,17.6,1,0
Bilal Khan,32,31,111,2,778,45,17.28,7,14.8,3,0
MRJ Watt,35,33,125,2,903,45,20.06,7.22,16.6,0,1
Ahsan Malik,31,29,95.5,1,730,44,16.59,7.61,13,1,1
DJG Sammy,68,59,152.4,0,1116,44,25.36,7.31,20.8,1,1
Imad Wasim,41,40,147,3,877,42,20.88,5.96,21,1,1
Mashrafe Mortaza,54,53,189.5,1,1527,42,36.35,8.04,27.1,1,0
B Kumar,43,43,154.2,2,1088,41,26.53,7.04,22.5,0,1
WD Parnell,40,39,124.5,3,1038,41,25.31,8.31,18.2,1,0
KOK Williams,24,24,86.5,2,724,41,17.65,8.33,12.7,1,0
Al-Amin Hossain,28,26,91.2,0,673,40,16.82,7.36,13.7,0,0
Dawlat Zadran,34,34,123.3,2,980,40,24.5,7.93,18.5,1,0
T van der Gugten,39,38,118.5,0,847,40,21.17,7.12,17.8,0,0
TA Boult,27,27,98.5,1,854,39,21.89,8.64,15.2,1,0
AU Rashid,40,38,133,1,1000,39,25.64,7.51,20.4,0,0
Rohan Mustafa,38,36,113.5,2,774,39,19.84,6.79,17.5,1,0
MA Starc,28,28,106.3,1,718,39,18.41,6.74,16.3,0,0
HH Pandya,40,39,116.5,1,976,38,25.68,8.35,18.4,1,0
Kuldeep Yadav,19,19,71.3,1,499,37,13.48,6.97,11.5,1,1
AD Mathews,72,57,161.3,4,1101,37,29.75,6.81,26.1,0,0
Mohammad Naveed,31,31,114.4,5,729,37,19.7,6.35,18.5,0,0
AJ Tye,26,25,91.5,1,815,37,22.02,8.87,14.8,1,0
